,ID Place,Place,Population,Median Age,Property Value,Household Income,Average Commute Time,Household Ownership,Health Insurance Policies,Percent Business & Tech Jobs
29,16000US0465000,"Scottsdale, AZ",258064,50.1,534300,123791,18.09809672986272,0.4796910843821688,0.996489242978486,0.5326345367828178
30,16000US0471510,"Surprise, AZ",141674,39.8,269900,49127,,0.3467608735547807,0.9915580840521196,0.3540854360490859
31,16000US0473000,"Tempe, AZ",195816,30.0,323600,76669,21.010841295235373,0.3915359316909752,0.997844915635086,0.43789307850168946
32,16000US0477000,"Tucson, AZ",548082,34.5,172700,217993,21.294519693875962,0.39773792972584393,0.9644797676260122,0.32947556402166794
33,16000US0485540,"Yuma, AZ",98296,30.6,163900,34971,,0.355772361031985,0.9480650280784569,0.2997857599741062
34,16000US0515190,"Conway, AR",67640,28.7,202500,26319,,0.38910408042578354,,0.42353004054270726
35,16000US0523290,"Fayetteville, AR",87585,27.9,216000,36705,,0.41907860935091623,,0.4653525574210834
36,16000US0524550,"Fort Smith, AR",87895,37.3,138000,36210,,0.4119688264406394,,0.28440988982644905
37,16000US0535710,"Jonesboro, AR",78380,34.6,166000,29688,,0.37877009441183973,,0.3522773058630501
38,16000US0541000,"Little Rock, AR",197318,37.4,171700,80063,16.61932948920753,0.4057561905148035,0.9888302131584549,0.4405587509787414
39,16000US0550450,"North Little Rock, AR",65899,35.2,138800,27903,,0.42342068923655896,,0.3630535957051988
40,16000US0560410,"Rogers, AR",68674,32.2,214100,24297,,0.35380202114337306,,0.3336789367980685
41,16000US0566080,"Springdale, AR",80454,31.1,163100,26443,,0.32867228478385163,,0.2767812617478499
42,16000US0600562,"Alameda, CA",77630,39.8,971200,30788,32.589111959600935,0.39659925286616,,0.5183071179603319
43,16000US0600884,"Alhambra, CA",83732,41.8,667000,28777,,0.34367983566617305,,0.39345904060533715
44,16000US0602000,"Anaheim, CA",350351,35.2,630500,105301,29.072867718406908,0.3005585826785138,0.9933695065805435,0.3055861696557409
45,16000US0602252,"Antioch, CA",111506,38.8,468800,36138,44.576053042121686,0.32409018348788404,,0.2914912738447266
46,16000US0602364,"Apple Valley, CA",73464,36.3,280200,23774,,0.32361428726995534,,0.3079291584674152
47,16000US0602553,"Arden-Arcade, CA",108227,36.6,411600,42309,,0.3909283265728515,,0.4081471873949176
48,16000US0603526,"Bakersfield, CA",384159,31.4,264500,116558,23.429378388760494,0.30341082728765956,0.9939191845043328,0.3191166678332912
49,16000US0603666,"Baldwin Park, CA",75240,37.0,462900,19350,,0.25717703349282295,,0.18846000699832283
50,16000US0604982,"Bellflower, CA",76445,37.1,522800,23369,,0.30569690627248347,,0.26019980891945127
51,16000US0606000,"Berkeley, CA",121353,31.5,1168300,44551,29.99886852229011,0.3671190658656976,,0.6713731464507529
52,16000US0608786,"Buena Park, CA",81783,41.1,616400,25362,,0.31011334873995816,,0.34564924155394333
53,16000US0608954,"Burbank, CA",102508,40.6,826100,43167,25.914814326852497,0.421108596402232,,0.5199791665005833
54,16000US0610046,"Camarillo, CA",69887,43.7,621300,27274,,0.3902585602472563,,0.463781115861049
55,16000US0611194,"Carlsbad, CA",115386,44.6,886500,44966,,0.38970065692545025,,0.5463652762873811
56,16000US0611390,"Carmichael, CA",66800,39.2,407600,26577,,0.39785928143712573,,0.41510070185410874
57,16000US0611530,"Carson, CA",91407,43.8,550300,25573,,0.27977069589856357,,0.3256493705073604
58,16000US0613014,"Chico, CA",103315,30.2,378100,37040,15.036534967757392,0.3585152204423365,,0.38081334011840784
59,16000US0613210,"Chino, CA",94352,38.6,490900,26079,,0.27640113617093437,,0.3347295063163973
60,16000US0613214,"Chino Hills, CA",83843,40.9,690300,26856,,0.32031296590055225,,0.47332143229157314
61,16000US0613392,"Chula Vista, CA",274485,37.4,546400,82916,27.519387621244974,0.30207843780170135,0.9758711769313442,0.3579107030519834
62,16000US0613588,"Citrus Heights, CA",87792,39.5,337900,36460,,0.4152997995261527,,0.30791513295544043
63,16000US0614218,"Clovis, CA",114582,35.6,360400,39269,,0.3427152606866698,,0.4147130821996687
64,16000US0615044,"Compton, CA",95601,33.5,432500,21757,,0.22758130145082164,,0.1541889907383332
65,16000US0616000,"Concord, CA",129320,37.3,604300,45071,32.9458736703717,0.34852304361274355,,0.3831538811028432
66,16000US0616350,"Corona, CA",169854,35.3,519800,47793,37.03112366194804,0.2813769472605885,,0.35749904653790304
67,16000US0616532,"Costa Mesa, CA",113011,34.9,826000,38762,,0.3429931599578802,,0.405997320460773
68,16000US0617918,"Daly City, CA",106294,39.7,916500,31289,30.63411249331193,0.29436280505014395,,0.320337674096562
69,16000US0618100,"Davis, CA",69420,25.8,674600,26367,21.050145462508212,0.37981849611063095,,0.6246276243093922
70,16000US0619766,"Downey, CA",111127,36.6,619800,32073,31.418099676791485,0.288615727950903,,0.313431618233778
71,16000US0620802,"East Los Angeles, CA",119890,31.9,506000,30676,31.809010355503364,0.25586787888898155,,0.15604059782579863
